dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019
7/8/2020,7,8,2020,89,2,Hong Kong,HK,HKG,7451000
6/8/2020,6,8,2020,95,1,Hong Kong,HK,HKG,7451000
5/8/2020,5,8,2020,85,3,Hong Kong,HK,HKG,7451000
4/8/2020,4,8,2020,80,3,Hong Kong,HK,HKG,7451000
3/8/2020,3,8,2020,78,3,Hong Kong,HK,HKG,7451000
2/8/2020,2,8,2020,115,3,Hong Kong,HK,HKG,7451000
1/8/2020,1,8,2020,124,4,Hong Kong,HK,HKG,7451000
31/7/2020,31,7,2020,121,0,Hong Kong,HK,HKG,7451000
30/7/2020,30,7,2020,149,3,Hong Kong,HK,HKG,7451000
29/7/2020,29,7,2020,118,1,Hong Kong,HK,HKG,7451000
28/7/2020,28,7,2020,106,1,Hong Kong,HK,HKG,7451000
27/7/2020,27,7,2020,145,3,Hong Kong,HK,HKG,7451000
26/7/2020,26,7,2020,128,1,Hong Kong,HK,HKG,7451000
25/7/2020,25,7,2020,133,2,Hong Kong,HK,HKG,7451000
24/7/2020,24,7,2020,123,1,Hong Kong,HK,HKG,7451000
23/7/2020,23,7,2020,118,1,Hong Kong,HK,HKG,7451000
22/7/2020,22,7,2020,113,0,Hong Kong,HK,HKG,7451000
21/7/2020,21,7,2020,60,2,Hong Kong,HK,HKG,7451000
20/7/2020,20,7,2020,73,0,Hong Kong,HK,HKG,7451000
19/7/2020,19,7,2020,108,0,Hong Kong,HK,HKG,7451000
18/7/2020,18,7,2020,64,1,Hong Kong,HK,HKG,7451000
17/7/2020,17,7,2020,58,1,Hong Kong,HK,HKG,7451000
16/7/2020,16,7,2020,67,0,Hong Kong,HK,HKG,7451000
15/7/2020,15,7,2020,19,2,Hong Kong,HK,HKG,7451000
14/7/2020,14,7,2020,48,0,Hong Kong,HK,HKG,7451000
13/7/2020,13,7,2020,52,1,Hong Kong,HK,HKG,7451000
12/7/2020,12,7,2020,38,0,Hong Kong,HK,HKG,7451000
11/7/2020,11,7,2020,28,0,Hong Kong,HK,HKG,7451000
10/7/2020,10,7,2020,38,0,Hong Kong,HK,HKG,7451000
9/7/2020,9,7,2020,42,0,Hong Kong,HK,HKG,7451000
8/7/2020,8,7,2020,24,0,Hong Kong,HK,HKG,7451000
7/7/2020,7,7,2020,14,0,Hong Kong,HK,HKG,7451000
6/7/2020,6,7,2020,17,0,Hong Kong,HK,HKG,7451000
5/7/2020,5,7,2020,10,0,Hong Kong,HK,HKG,7451000
4/7/2020,4,7,2020,11,0,Hong Kong,HK,HKG,7451000
3/7/2020,3,7,2020,5,0,Hong Kong,HK,HKG,7451000
2/7/2020,2,7,2020,9,0,Hong Kong,HK,HKG,7451000
1/7/2020,1,7,2020,28,0,Hong Kong,HK,HKG,7451000
30/6/2020,30,6,2020,2,0,Hong Kong,HK,HKG,7451000
29/6/2020,29,6,2020,4,0,Hong Kong,HK,HKG,7451000
28/6/2020,28,6,2020,2,0,Hong Kong,HK,HKG,7451000
27/6/2020,27,6,2020,1,0,Hong Kong,HK,HKG,7451000
26/6/2020,26,6,2020,3,1,Hong Kong,HK,HKG,7451000
25/6/2020,25,6,2020,14,0,Hong Kong,HK,HKG,7451000
24/6/2020,24,6,2020,2,0,Hong Kong,HK,HKG,7451000
23/6/2020,23,6,2020,16,1,Hong Kong,HK,HKG,7451000
22/6/2020,22,6,2020,30,0,Hong Kong,HK,HKG,7451000
21/6/2020,21,6,2020,3,0,Hong Kong,HK,HKG,7451000
20/6/2020,20,6,2020,1,1,Hong Kong,HK,HKG,7451000
19/6/2020,19,6,2020,3,0,Hong Kong,HK,HKG,7451000
18/6/2020,18,6,2020,4,0,Hong Kong,HK,HKG,7451000
17/6/2020,17,6,2020,8,0,Hong Kong,HK,HKG,7451000
16/6/2020,16,6,2020,0,0,Hong Kong,HK,HKG,7451000
15/6/2020,15,6,2020,3,0,Hong Kong,HK,HKG,7451000
14/6/2020,14,6,2020,0,0,Hong Kong,HK,HKG,7451000
13/6/2020,13,6,2020,1,0,Hong Kong,HK,HKG,7451000
12/6/2020,12,6,2020,1,0,Hong Kong,HK,HKG,7451000
11/6/2020,11,6,2020,0,0,Hong Kong,HK,HKG,7451000
10/6/2020,10,6,2020,0,0,Hong Kong,HK,HKG,7451000
9/6/2020,9,6,2020,0,0,Hong Kong,HK,HKG,7451000
8/6/2020,8,6,2020,1,0,Hong Kong,HK,HKG,7451000
7/6/2020,7,6,2020,1,0,Hong Kong,HK,HKG,7451000
6/6/2020,6,6,2020,3,0,Hong Kong,HK,HKG,7451000
5/6/2020,5,6,2020,3,0,Hong Kong,HK,HKG,7451000
4/6/2020,4,6,2020,6,0,Hong Kong,HK,HKG,7451000
3/6/2020,3,6,2020,0,0,Hong Kong,HK,HKG,7451000
2/6/2020,2,6,2020,6,0,Hong Kong,HK,HKG,7451000
1/6/2020,1,6,2020,3,0,Hong Kong,HK,HKG,7451000
31/5/2020,31,5,2020,2,0,Hong Kong,HK,HKG,7451000
30/5/2020,30,5,2020,3,0,Hong Kong,HK,HKG,7451000
29/5/2020,29,5,2020,13,0,Hong Kong,HK,HKG,7451000
28/5/2020,28,5,2020,0,0,Hong Kong,HK,HKG,7451000
27/5/2020,27,5,2020,1,0,Hong Kong,HK,HKG,7451000
26/5/2020,26,5,2020,0,0,Hong Kong,HK,HKG,7451000
25/5/2020,25,5,2020,0,0,Hong Kong,HK,HKG,7451000
24/5/2020,24,5,2020,0,0,Hong Kong,HK,HKG,7451000
23/5/2020,23,5,2020,0,0,Hong Kong,HK,HKG,7451000
22/5/2020,22,5,2020,2,0,Hong Kong,HK,HKG,7451000
21/5/2020,21,5,2020,8,0,Hong Kong,HK,HKG,7451000
20/5/2020,20,5,2020,0,0,Hong Kong,HK,HKG,7451000
19/5/2020,19,5,2020,0,0,Hong Kong,HK,HKG,7451000
18/5/2020,18,5,2020,0,0,Hong Kong,HK,HKG,7451000
17/5/2020,17,5,2020,3,0,Hong Kong,HK,HKG,7451000
16/5/2020,16,5,2020,0,0,Hong Kong,HK,HKG,7451000
15/5/2020,15,5,2020,1,0,Hong Kong,HK,HKG,7451000
14/5/2020,14,5,2020,1,0,Hong Kong,HK,HKG,7451000
13/5/2020,13,5,2020,3,0,Hong Kong,HK,HKG,7451000
12/5/2020,12,5,2020,0,0,Hong Kong,HK,HKG,7451000
11/5/2020,11,5,2020,0,0,Hong Kong,HK,HKG,7451000
10/5/2020,10,5,2020,3,0,Hong Kong,HK,HKG,7451000
9/5/2020,9,5,2020,0,0,Hong Kong,HK,HKG,7451000
8/5/2020,8,5,2020,0,0,Hong Kong,HK,HKG,7451000
7/5/2020,7,5,2020,4,0,Hong Kong,HK,HKG,7451000
6/5/2020,6,5,2020,0,0,Hong Kong,HK,HKG,7451000
5/5/2020,5,5,2020,0,0,Hong Kong,HK,HKG,7451000
4/5/2020,4,5,2020,1,0,Hong Kong,HK,HKG,7451000
3/5/2020,3,5,2020,0,0,Hong Kong,HK,HKG,7451000
