countriesAndTerritories,Region
Brunei_Darussalam,1_ASEAN
Cambodia,1_ASEAN
Indonesia,1_ASEAN
Laos,1_ASEAN
Malaysia,1_ASEAN
Myanmar,1_ASEAN
Philippines,1_ASEAN
Singapore,1_ASEAN
Thailand,1_ASEAN
Vietnam,1_ASEAN
China,2_East Asia
Japan,2_East Asia
South_Korea,2_East Asia
Hong Kong,2_East Asia
Taiwan,2_East Asia
Australia,3_Pacific
New_Zealand,3_Pacific
Papua_New_Guinea,3_Pacific
Fiji,3_Pacific
Tonga,3_Pacific
India,3_MiddleEast
Saudi_Arabia,3_MiddleEast
United_Arab_Emirates,3_MiddleEast
Austria,4_Europe
Belgium,4_Europe
Bulgaria,4_Europe
Croatia,4_Europe
Cyprus,4_Europe
Czechia,4_Europe
Denmark,4_Europe
Estonia,4_Europe
Finland,4_Europe
France,4_Europe
Germany,4_Europe
Greece,4_Europe
Hungary,4_Europe
Ireland,4_Europe
Italy,4_Europe
Latvia,4_Europe
Lithuania,4_Europe
Luxembourg,4_Europe
Malta,4_Europe
Netherlands,4_Europe
Poland,4_Europe
Portugal,4_Europe
Romania,4_Europe
Slovakia,4_Europe
Slovenia,4_Europe
Spain,4_Europe
Sweden,4_Europe
Switzerland,4_Europe
Iceland,4_Europe
Liechtenstein,4_Europe
Norway,4_Europe
Iceland,4_Europe
United_Kingdom,4_Europe
Russia,4_Europe
United_States_of_America,5_Americas
Canada,5_Americas
Brazil,5_Americas
Mexico,5_Americas
Chile,5_Americas
Ethiopia,6_Africa
South_Africa,6_Africa
